dependency_id,topic,status,requirement,affected_regimes,closure_evidence,blocking_scope,specification_disposition
OQ-01,immutable controls,UNRESOLVED,"Assemble a checksum-pinned cutoff-era MPC ITF and orbit/designation catalog without current-state leakage.","catalog association; multi-night/cross-survey; historical","dated full snapshots plus independent cutoff replay","blocks acceptance testing","G1/G4 hard block for affected branches"
OQ-02,pixel ancillaries,UNRESOLVED,"Verify which exposed pixel files retain valid uncertainty, masks, PSF, exposure-midtime, and observer metadata at file level.","point pixels; trail pixels; historical","bounded file-level inventory and schema verification","blocks method transfer claims","G3 hard block for affected pixel branches"
OQ-03,astrometry,UNRESOLVED,"Establish per-detection covariance or a defensible weighting model for each catalog branch.","association; single-night; multi-night/cross-survey; orbit","schema audit plus residual calibration on cutoff-safe known objects","blocks calibrated association/orbit probabilities","G3/G7 hard block"
OQ-04,trail astrometry,UNRESOLVED,"Measure trail centroid/end-point errors over length, angle, SNR, star crossings, curvature, and sampling.","trail pixels","stratified real plus injected trail recovery with astrometric residuals","blocks trail-to-tracklet uncertainty model","G3/G7 hard block"
OQ-05,selection functions,UNRESOLVED,"Define a multidimensional per-archive injection/recovery design without future identities.","point pixels; trail pixels; historical","pre-registered injection grid and immutable exposure samples","blocks completeness claims","G4/G7 hard block"
OQ-06,ML transfer,UNRESOLVED,"Measure trail-classifier degradation across survey, detector, subtraction branch, and observing condition.","trail pixels","survey-held-out and detector-held-out evaluation with calibration curves","blocks cross-survey ML thresholds","G5/G7 hard block for ML claims"
OQ-07,observer/time contracts,UNRESOLVED,"Prove lossless normalization of time scales, exposure conventions, readout effects, and observer positions.","association; single-night; multi-night/cross-survey; orbit","field-level schema and conversion test vectors","blocks dynamics claims","G3 hard block"
OQ-08,false detections,UNRESOLVED,"Measure joint artifact/false-detection density after each upstream catalog or alert filter.","point pixels; trail pixels; single-night","retained-candidate logs or pixel re-extraction on bounded samples","blocks realistic linking load estimates","G2/G7 hard block for end-to-end comparison"
OQ-09,cross-survey systematics,UNRESOLVED,"Establish astrometric/photometric offsets and duplicate rules across survey products.","association; multi-night/cross-survey; historical","cutoff-safe cross-matched residual study by station/epoch/product","blocks cross-survey probability calibration","G3 hard block"
OQ-10,archive opportunity,UNRESOLVED,"Measure the fraction of historical exposures with searchable footprints, usable WCS, complete chips, and redistributable pixels.",historical,"night-level archive inventory with reasons for loss","blocks recovery denominator","G2/G4/G7 hard block"
OQ-11,compute,UNRESOLVED,"Measure candidate counts, memory, runtime, and recall on identical bounded product slices.","single-night; multi-night/cross-survey; orbit","reproducible benchmark corpus and resource ledger","needed before architecture selection","G8 hard block"
OQ-12,prior leakage,UNRESOLVED,"Freeze population, orbit, magnitude, and identity priors so they encode no post-cutoff discoveries.","association; linking; historical; orbit","dated prior artifacts and adversarial cutoff audit","blocks historical-control validity","G4/G5 hard block"
OQ-13,rare regimes,UNRESOLVED,"Retain hyperbolic/cometary, very close/accelerating, low-elongation, high-rate, and cross-survey outliers.","multi-night/cross-survey; orbit","stratified rare-regime injections and real positive controls","blocks claims beyond demonstrated populations","G5/G7 hard block"
OQ-14,precovery identity,UNRESOLVED,"Define independent evidence distinguishing a true precovery from a chance residual in a broad uncertainty region.",historical,"blinded pixel evidence, alternatives, leave-one-out fits, and independent remeasurement","blocks precovery disposition","G4/G7 hard block"
OQ-15,uncertainty calibration,UNRESOLVED,"Select coverage, scoring-rule, and multimodality diagnostics for short-arc orbit posteriors.",orbit,"simulation truth plus blinded withheld observations and calibration curves","blocks probability interpretation","G7 hard block"
OQ-16,checkpoint provenance,UNRESOLVED_HISTORICAL_PROVENANCE_LIMITATION,"Correct two historical NEO-001 core-input path pins to include NEO-001-revision10-package while preserving the same hashes.",dependency provenance,"orchestrator-issued corrected pin/checkpoint","does not block this specification; blocks complete provenance closure","retain unchanged; do not rewrite or resolve by assertion"
