incomplete_id,requirement,status,dependencies,blocking_gate,completion_evidence
IR-001,Exact checksum-frozen benchmark corpus identities and bounded slices per branch,INCOMPLETE,"OQ-01;OQ-02;OQ-10",G2,"externally pinned corpus manifests, sizes, roles, and opportunity inventories"
IR-002,File-level pixel ancillary schemas and missingness rules per product,INCOMPLETE,OQ-02,G3,"verified WCS/time/observer/PSF/variance/mask/calibration contracts"
IR-003,Per-product detection covariance or defensible weighting models,INCOMPLETE,OQ-03,G3,"schema audit and cutoff-safe residual calibration"
IR-004,Trail endpoint/centroid uncertainty and downstream propagation model,INCOMPLETE,OQ-04,G3,"stratified real/injected residual study"
IR-005,Pre-registered multidimensional injection/recovery design and simulation-validity controls,INCOMPLETE,OQ-05,G7,"frozen injection grid, simulator identity, partitions, and selection-function plan"
IR-006,Cutoff-safe ML labels and measured survey/detector/domain transfer behavior,INCOMPLETE,"OQ-06;OQ-12",G5,"provenance-complete labels and held-out calibration results"
IR-007,Lossless time/observer/frame normalization and conversion test vectors,INCOMPLETE,OQ-07,G3,"frozen normative field map and passing test vectors"
IR-008,Upstream candidate and false-detection denominators per product branch,INCOMPLETE,OQ-08,G7,"retained candidate logs or bounded pixel re-extraction evidence"
IR-009,Cross-survey astrometric/photometric offsets and duplicate-observation rules,INCOMPLETE,OQ-09,G3,"cutoff-safe station/epoch/product residual model"
IR-010,Numerical CPU/GPU/memory/runtime/storage/download and candidate-fanout budgets,INCOMPLETE,OQ-11,G8,"orchestrator-approved bounded resource envelope"
IR-011,"Rare-regime definitions, minimum representation, and retention criteria",INCOMPLETE,OQ-13,G5,"frozen stress-set identities and pre-registered strata"
IR-012,Independent precovery identity-confirmation procedure,INCOMPLETE,OQ-14,G7,"blinded alternatives, leave-one-out tests, and independent remeasurement contract"
IR-013,Short-arc posterior coverage/scoring/multimodality diagnostics and thresholds,INCOMPLETE,OQ-15,G7,"pre-registered metrics and thresholds on simulation truth plus blinded withheld observations"
IR-014,"Numerical branch comparison thresholds, multiplicity rules, minimum statistical power, and uncertainty levels",INCOMPLETE,"OQ-03;OQ-05;OQ-06;OQ-08;OQ-11;OQ-13;OQ-15",G7,"outcome-blind frozen decision rule approved before evaluation"
IR-015,Access/licensing/redistribution plan and explicit authorization for any later bounded download,INCOMPLETE,"OQ-02;OQ-10",G2,"terms record, size estimate, public/no-credential route, and operator authorization"
IR-016,"Final production method and architecture selection; blocks only that post-G10 decision and does not block an explicitly authorized bounded implementation, G9, or G10",INTENTIONALLY_DEFERRED,"OQ-01 through OQ-15; IR-001 through IR-015",post-G10,"separate future production-selection decision based on independently reviewed bounded benchmark evidence after successful G10"
