requirement_id,category,normative_requirement,status,dependencies,verification
REQ-001,identity,"Verify checkpoint manifest and assignment SHA-256 before writing.",SPECIFIED_COMPLETE,none,"author recomputation record"
REQ-002,identity,"Verify every accepted dependency root by complete no-follow lstat inventory and every pinned digest.",SPECIFIED_COMPLETE,none,"author recomputation and source preservation"
REQ-003,scope,"Permit specification only; prohibit implementation, production search, submission, authority contact, impact claims, acceptance claims, and independent review.",SPECIFIED_COMPLETE,none,"claim-boundary audit"
REQ-004,regimes,"Keep pixel and catalog/alert-record branches separate.",SPECIFIED_COMPLETE,OQ-02,"spec sections 4/6/8"
REQ-005,regimes,"Keep point-like and trailed pixel detection separate.",SPECIFIED_COMPLETE,"OQ-04;OQ-05","spec sections 6/8/10"
REQ-006,regimes,"Keep single-night and multi-night/cross-survey linking separate.",SPECIFIED_COMPLETE,"OQ-03;OQ-07;OQ-09","spec sections 4/8/10"
REQ-007,regimes,"Keep targeted precovery and blind archival discovery separate.",SPECIFIED_COMPLETE,"OQ-01;OQ-14","spec sections 4/8/10"
REQ-008,regimes,"Keep current evidence, historical evidence, and planned capability separately versioned.",SPECIFIED_COMPLETE,"OQ-01;OQ-12","spec sections 4/6/7"
REQ-009,data,"Use processing level as a hard information ceiling; catalog absence is not a physical negative.",SPECIFIED_COMPLETE,none,"spec sections 4/6"
REQ-010,data,"Require complete immutable input envelopes and reject undeclared path/type/mode/size/hash/link changes.",SPECIFIED_COMPLETE,none,"spec sections 6/11/12"
REQ-011,data,"Require pixel time, observer, WCS, calibration, PSF, uncertainty, and mask contracts.",SPECIFIED_INCOMPLETE,OQ-02,"IR-002/G3"
REQ-012,data,"Require detection time, observer, frame, covariance/weight, upstream-filter, and lineage contracts.",SPECIFIED_INCOMPLETE,"OQ-03;OQ-07","IR-003/IR-007/G3"
REQ-013,data,"Do not impute critical time, observer, covariance, mask, cutoff, archive, or availability values.",SPECIFIED_COMPLETE,none,"spec section 6.5"
REQ-014,labels,"Use provenance-complete label classes with explicit cutoff and role.",SPECIFIED_INCOMPLETE,"OQ-01;OQ-12","IR-006/G5"
REQ-015,labels,"Use object/time/night/survey-safe splits and isolate later truth.",SPECIFIED_COMPLETE,"OQ-06;OQ-12","spec section 7"
REQ-016,labels,"Preserve ambiguous, unmatched, abstained, and unknown/censored states.",SPECIFIED_COMPLETE,none,"spec sections 5/7"
REQ-017,historical,"Require the ten-element historical control packet before evaluation.",SPECIFIED_INCOMPLETE,"OQ-01;OQ-10;OQ-12","G4"
REQ-018,baselines,"Use defensible classical/statistical baselines on identical inputs and budgets.",SPECIFIED_COMPLETE,OQ-11,"spec section 8"
REQ-019,baselines,"Retain all proposal-stage candidates and stage scores where a later veto can alter selection.",SPECIFIED_COMPLETE,"OQ-05;OQ-08","spec sections 8/9"
REQ-020,metrics,"Report exact denominators, stage counts, uncertainty, calibration, stratification, reproducibility, and resources.",SPECIFIED_INCOMPLETE,"OQ-03;OQ-05;OQ-08;OQ-11;OQ-15","IR-005/IR-008/IR-010/IR-013"
REQ-021,metrics,"Treat completeness as multidimensional and evidence-bounded.",SPECIFIED_COMPLETE,OQ-05,"spec section 9.3"
REQ-022,metrics,"Do not use literature headline metrics or nominal depth as harness thresholds.",SPECIFIED_COMPLETE,none,"spec sections 4/9"
REQ-023,metrics,"Respect object/night/survey clustering in uncertainty intervals.",SPECIFIED_INCOMPLETE,"OQ-03;OQ-15","IR-013/IR-014"
REQ-024,acceptance,"Freeze numerical criteria, power, uncertainty, and multiplicity before outcome access.",SPECIFIED_INCOMPLETE,OQ-15,"IR-014/G7"
REQ-025,acceptance,"Use bounded comparison dispositions only; never emit scientific/operational acceptance or discovery dispositions.",SPECIFIED_COMPLETE,none,"spec sections 5/10"
REQ-026,pixel_point,"Measure proposal/veto recall and stratified recovery/false density with verified ancillaries.",SPECIFIED_INCOMPLETE,"OQ-02;OQ-05;OQ-08","IR-002/IR-005/IR-008"
REQ-027,pixel_trail,"Correct hypothesis volume and propagate endpoint/centroid uncertainty downstream.",SPECIFIED_INCOMPLETE,"OQ-04;OQ-05","IR-004/IR-005"
REQ-028,association,"Require covariance/time/observer contracts and retain ambiguity; unmatched does not mean novel.",SPECIFIED_INCOMPLETE,"OQ-03;OQ-07","IR-003/IR-007"
REQ-029,single_night,"Report two-detection and three-or-more strata and recall at every prune; do not represent a tracklet as a unique orbit.",SPECIFIED_COMPLETE,"OQ-08;OQ-11","spec sections 8/10"
REQ-030,multi_night,"Require per-survey normalization, physics fallback, rare-regime retention, and multimodal outcomes.",SPECIFIED_INCOMPLETE,"OQ-07;OQ-09;OQ-13","IR-007/IR-009/IR-011"
REQ-031,historical,"Open later truth only after output freeze and require independent identity evidence beyond orbit-fit improvement.",SPECIFIED_INCOMPLETE,"OQ-01;OQ-14","IR-012/G4"
REQ-032,orbit,"Retain multiple modes/tails, report calibration and withheld-observation diagnostics, and emit no impact disposition.",SPECIFIED_INCOMPLETE,OQ-15,"IR-013"
REQ-033,architecture,"Separate identity intake, evidence registry, normalization, partitioning, branch execution, collection, evaluation, and sealing.",SPECIFIED_COMPLETE,none,"spec section 11"
REQ-034,trust,"Disable network during method execution and isolate current/later truth.",SPECIFIED_COMPLETE,none,"spec sections 11/14"
REQ-035,trust,"Treat archive inputs, method output, and author diagnostics as untrusted at their respective boundaries.",SPECIFIED_COMPLETE,none,"spec section 11.3"
REQ-036,trust,"Select external trust roots only by exact external path and digest.",SPECIFIED_COMPLETE,none,"spec sections 1/11/18"
REQ-037,gates,"G0 passes only when a fresh independent review is bound to the exact frozen specification bytes and returns exactly SPECIFICATION_ACCEPTED_AFTER_INDEPENDENT_REVIEW; every other verdict or binding state fails G0, and acceptance advances only to G1.",SPECIFIED_COMPLETE,none,"G0 exact-verdict and exact-byte-binding controls"
REQ-038,gates,"Use a staged lifecycle: applicable G0-G8 requirements block bounded implementation; G9 requires the resulting frozen bounded implementation; G10 requires fresh role-separated evaluation; IR-016 blocks only final production method or architecture selection and does not deadlock bounded implementation or its G9/G10 evidence path.",SPECIFIED_COMPLETE,"OQ-01 through OQ-15; IR-001 through IR-016","G1-G10 and post-G10"
REQ-039,operations,"Prohibit unbounded data access, credentials, state creation, public alerts, submissions, and authority contact.",SPECIFIED_COMPLETE,none,"spec sections 3/14"
REQ-040,operations,"Numerically freeze resource/download/storage limits before any later bounded run.",SPECIFIED_INCOMPLETE,OQ-11,"IR-010/IR-015/G8"
REQ-041,failure,"Stop on identity mismatch, duplicate keys, unsafe entries, source mutation, leakage, threshold drift, or resource/access boundary breach.",SPECIFIED_COMPLETE,none,"spec section 12"
REQ-042,reproducibility,"Freeze inputs, configuration, code, environment, hardware, seeds, splits, labels, cutoffs, logs, intermediates, metrics, resources, and output seal.",SPECIFIED_COMPLETE,none,"spec section 15"
REQ-043,audit,"Never suppress failed shards, empty denominators, missing strata, or retries.",SPECIFIED_COMPLETE,none,"spec sections 14/15"
REQ-044,review,"For an initial specification review, give the reviewer only the frozen specification identity, exact manifest digest, controlling checkpoint, and fresh review root. For remediation revalidation, give the reviewer only the frozen specification identity, exact manifest digest, controlling checkpoint, fresh review root, and exact controlling prior independent-review identity and verdict. For Revision 3 remediation revalidation, the exact controlling prior independent-review identity and verdict are root `/Users/Rome/Documents/Codex/2026-08-24/files-pasted-by-the-user-act-4/outputs/NEO-harness-specification-v2-independent-revalidation`, complete-review-manifest SHA-256 `b60cf61a1cd24fb3dbb55dd62777b0922c0b64623777290b5a2629815d52aea5`, digest-record SHA-256 `3b58d03e566c0a7886ed6ba490400f35152f576fcdcfac2b0ac0ec034a476e7c`, and verdict `REVISIONS_REQUIRED`.",SPECIFIED_COMPLETE,none,"spec section 13"
REQ-045,review,"Do not select, contact, instruct, or initiate an independent reviewer in this author task.",SPECIFIED_COMPLETE,none,"author handoff"
REQ-046,provenance,"Retain OQ-16 without rewriting frozen sources or claiming provenance closure.",SPECIFIED_COMPLETE,OQ-16,"spec section 16"
REQ-047,sealing,"Seal every payload path using a complete no-follow lstat manifest plus separate digest record.",SPECIFIED_COMPLETE,none,"complete manifest and digest record"
REQ-048,preservation,"Prove every pinned input unchanged before/after in path, type, mode, size, regular-file hash, and symlink target.",SPECIFIED_COMPLETE,none,"source preservation report"
