claim_id,source_id,retrieval_date,source_available,metadata_result,exact_claim_result,demonstrated_context_result,evidence_grade_result,transfer_limit_result,independent_result,source_location,independent_evidence_note
SC-001,NEO001-R10,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,local pinned artifact,Pinned NEO-001 product-decision bytes replayed independently; 96 ordered product records define the discovery ceilings.
SC-002,NEO002-R20,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,local pinned artifact,Pinned NEO-002 report and scope-matrix bytes replayed independently; stage and information-ceiling boundaries remain explicit.
SC-003,DENNEAU-2013,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1302.7281,Primary MOPS abstract supports staged processing and >99.5% orbit production only for a synthetic realistic Pan-STARRS4-class population.
SC-004,GURAL-2005,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://ui.adsabs.harvard.edu/abs/2005AJ....130.1951G/abstract,Primary bibliographic record and paper scope support matched-filter processing on stellar imagery; no portable threshold is claimed.
SC-005,HEINZE-2015,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1508.01599,"Primary arXiv abstract reports one WIYN field, 156 previously unknown asteroids, and 59 known objects."
SC-006,SMOTHERMAN-2021,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2109.03296,"Primary arXiv abstract reports 75 unlinked and 24 known slow outer-solar-system sources plus GPU, robust, and CNN KBMOD extensions."
SC-007,DUEV-2019,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1904.05920,Primary arXiv abstract reports 96-98% nightly TPR and <1% FPR in the ZTF pipeline context.
SC-008,RABEENDRAN-2024,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://ora.ox.ac.uk/objects/uuid:4e48d758-d929-44ae-969b-78e800818a69,Oxford primary record documents telescope-unit-specific retraining and an explicit false-positive/missed-detection tradeoff.
SC-009,IRURETA-GOYENA-2025,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://www.ipac.caltech.edu/publication/2025PASP..137e4503I,IPAC primary record reports ZTF-specific 0.843 completeness and 0.820 precision across three bounded training sets.
SC-010,WANG-2022,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2208.09098,"ArXiv and MNRAS primary records confirm the exact title, four 2019 ZTF nights, and six newly identified NEOs; no threshold or completeness transfer is supported."
SC-011,VIRTANEN-2016,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1016/j.asr.2015.09.024,"Primary paper/proceedings abstract documents an automated pipeline tested on semisynthetic ground/space imagery, an adjacent-domain bound."
SC-012,PONTINEN-2020,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2011.05297,Primary arXiv abstract explicitly evaluates StreakDet on simulated Euclid imagery; it is not observed/current survey performance.
SC-013,WASZCZAK-2017,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1088/1538-3873/129/973/034402,Primary PTF paper describes a bounded real-time visually-streaked NEA pipeline; cross-product portability is not established.
SC-014,STANESCU-2025,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1051/0004-6361/202553973,Crossref publisher metadata gives the exact title and December 2025 issue; abstract supports GPU synthetic tracking in bounded archival/software experiments.
